CAMELOT    | BPM      | FILE NAME
--------------------------------------------------------------------------------
10A        | 117.5    | Michael Gray - The Weekend (Michael Gray Gli.mp3
10A        | 123.0    | Sway (Extended Mix).mp3
10A        | 123.0    | Doin Ya Thang (Original Mix).mp3
10A        | 123.0    | Like You (Original Mix).mp3
10A        | 123.0    | Just Call My Name (Jackin Dub).mp3
10A        | 123.0    | What U Doing - Mousse T´s 'Deep Shizzle' Rem.mp3
10A        | 123.0    | Dennis Cruz - El Sueño (feat Martina Camargo.mp3
10A        | 129.2    | Nic Fanciulli - Set Me Free (feat. Robert Courtois).mp3
10A        | 129.2    | Robert Hood - Low Life [MPM30].mp3
10A        | 129.2    | Len Faki - My Black Sheep (Cleric Y Remix) [.mp3
10A        | 136.0    | Never Fuck (Paul van Dyk Late Night Mix).mp3
10B        | 99.4     | Monolink - Return To Oz (ARTBAT Remix).mp3
10B        | 123.0    | Youre My Honey.mp3
10B        | 123.0    | Dennis Cruz feat. Leo Wood - To Burn (Extend.mp3
10B        | 123.0    | Barbatuques - Baianá (Jack Back Club Remix).mp3
10B        | 129.2    | El Ritmo Del Alma (Extended Mix).mp3
10B        | 129.2    | Whighle, Cityburn Feat. Mc Th - Toc Toc.mp3
10B        | 129.2    | PAWSA - A LITTLE BIT FUNKIER [PAWZ036].mp3
11A        | 83.4     | Premiere DJ Wady  Patrick M - Hulk (CamelPha.mp3
11A        | 83.4     | Mochakk - Respirando (Original Mix).mp3
11A        | 89.1     | The Light Is Changing (Extended Mix).mp3
11A        | 99.4     | Jerry Ropero, Mijangos, Jesus Fernandez, Hugel - CORAÇAO (20th Anniversary Mix).mp3
11A        | 117.5    | Feel For You (Boris Dlugosch Remix).mp3
11A        | 123.0    | CamelPhat - Hangin Out With Charlie (Original Mix).mp3
11A        | 123.0    | We Groovin.mp3
11A        | 123.0    | Partylife.mp3
11A        | 123.0    | D-Unity - Bang (Original Mix) [UNITY RECORDS.mp3
11A        | 123.0    | Keinemusik (Adam Port, ME, Rampa), Alan Dixo.mp3
11A        | 123.0    | Rita Lee, Roberto De Carvalho - Caso Serio (.wav
11A        | 123.0    | Toast.mp3
11A        | 123.0    | Soft Sentence.mp3
11A        | 123.0    | Reinier Zonneveld - 8 Ball [Stil Vor Talent].mp3
11A        | 123.0    | Maz, Luedji Luna - Banho de Folhas (Maz Remi.mp3
11A        | 123.0    | Tuyo.mp3
11A        | 123.0    | House Music TillDeath (Original Mix).mp3
11A        | 123.0    | Let Me Hear Ya (Original Mix).mp3
11A        | 123.0    | Shake it boys (Original Mix).mp3
11A        | 123.0    | DJ Chus, Sparrow & Barbossa - A Pila El Arro.mp3
11A        | 123.0    | Funkytown (Seva K. Remix).mp3
11A        | 123.0    | Pirupa - Bless The Rain (Original Mix).mp3
11A        | 123.0    | Out Of Control (Original Mix).mp3
11A        | 123.0    | Gipsy (Original Mix).mp3
11A        | 123.0    | Push - Universal Nation (Bart Skils Remix).mp3
11A        | 123.0    | Mojave (Piero Pirupa Extended Remix).mp3
11A        | 123.0    | Iglesias - Disco Inferno (Original Mix).mp3
11A        | 123.0    | St Germain - Sittin Here.mp3
11A        | 123.0    | Chris Lake & Solardo - Free Your Body.mp3
11A        | 123.0    | Bart Skils - Shadowprint - Drumcode - DC126.mp3
11A        | 123.0    | Volac - Baby Boy.mp3
11A        | 123.0    | VR012 MR.V Jus Dance (SOLE Channel Mix).mp3
11A        | 123.0    | Sax Grooveria (Sunset Mix).mp3
11A        | 129.2    | HunterGame - Silver (Silence Live Mix).mp3
11A        | 129.2    | Ramon Tapia - Entity (Original Mix) [Suara].mp3
11A        | 129.2    | Dennis Cruz   - Ready For The Blues.mp3
11A        | 129.2    | PAWSA - TOO COOL TO BE CARELESS.mp3
11A        | 129.2    | Madan (Exotic Disco Mix).mp3
11A        | 129.2    | Yaeji - Raingurl.mp3
11A        | 129.2    | Lalo’s Groove (Marco Carola Edit).mp3
11A        | 129.2    | Definition (Nic Fanciulli Remix).mp3
11A        | 129.2    | Q Pario.mp3
11A        | 129.2    | Bob Sinclar - World Hold On (feat. Steve Edw.mp3
11A        | 129.2    | Drift.mp3
11A        | 129.2    | Feel You.mp3
11A        | 136.0    | Charlotte de Witte - Stigma (Original Mix) [.mp3
11A        | 136.0    | Amotik - Che [AMTK002].mp3
11A        | 136.0    | Dynamo (Intro).mp3
11A        | 136.0    | FREAKED IT.mp3
11A        | 143.6    | Mouse on Keys.mp3
11A        | 143.6    | Kashpitzky - Timeline Off [MONNOM035].mp3
11B        | 117.5    | SOFI TUKKER - Drinkee (Official Video).mp3
11B        | 123.0    | Dance To Be Free (Original Mix).mp3
11B        | 123.0    | Just Came For The Music (Extended Mix).mp3
11B        | 123.0    | Azari & III - Hungry for the power (Jamie Jo.mp3
11B        | 123.0    | 77 - Drake - Calling My Name.mp3
11B        | 123.0    | Take It (Original Mix).mp3
11B        | 123.0    | Hector Couto - Salimo (Original Mix).mp3
11B        | 123.0    | Jacques Renault, Faith (Borrowed Identity Re.mp3
11B        | 123.0    | Chris Lorenzo - Here Kitty (Ft. Dances With .mp3
11B        | 123.0    | Sam Paganini - Chocolate (Original Mix) [DRU.mp3
11B        | 123.0    | Fish Go Deep & Tracey K -The Cure & The Cause (Dennis Ferrer Remix) [Full Length] 2006.mp3
11B        | 129.2    | Amelie Lens - Drift.mp3
11B        | 129.2    | Eddy M - Make You Sweat (Original Mix) [EMre.mp3
11B        | 129.2    | Mete Bala.mp3
11B        | 129.2    | Eddy M - Jazzy Candy.mp3
11B        | 129.2    | Coração Tambor.mp3
11B        | 129.2    | Viot - Lucro (feat. BaianaSystem).mp3
11B        | 129.2    | Alvaro R - La Conga (Original Mix).mp3
11B        | 129.2    | Radio Slave - Vision (Obscure Shape & SHDW R.mp3
11B        | 129.2    | Vidro Fume.mp3
11B        | 129.2    | Dori Me.mp3
11B        | 129.2    | Ramin Rezaie - Lucid Dreaming (Original Mix).mp3
11B        | 129.2    | VITO (UK) - Never Forget.mp3
11B        | 136.0    | Charlotte de Witte - Ensemble (Original Mix).mp3
11B        | 136.0    | Lesson.mp3
12A        | 123.0    | La blanca y la rosa (Club Version).mp3
12A        | 123.0    | Bag Raiders - Shooting Stars (Official Video.mp3
12A        | 123.0    | Hoping (Matthew Herberts High Dub).mp3
12A        | 129.2    | The Weekend (Radio Edit).mp3
12A        | 129.2    | Outro Lugar.mp3
12A        | 129.2    | Green Velvet, Dajae, Mihalis Safras - Wurk (.mp3
12B        | 117.5    | Dark  Long (Remastered).mp3
12B        | 123.0    | Vintage Culture, Fancy Inc (ft. Roland Clark.mp3
12B        | 123.0    | Fidde - I Wonder If You Know (Dreams).mp3
12B        | 123.0    | Eric Prydz - Opus (OUT NOW).mp3
12B        | 123.0    | 2088 - Life (Original Mix).mp3
12B        | 129.2    | Erso - Send The Signal (Original Mix).mp3
12B        | 129.2    | Stop Trying Keep Doing (Original Mix).mp3
1A         | 63.0     | Pepe Bradock - Deep Burnt.mp3
1A         | 89.1     | Chris Stussy - Desire.mp3
1A         | 123.0    | Sam Paganini - Another Chance (Original Mix).mp3
1A         | 123.0    | Adam Port - Planet 9.mp3
1A         | 123.0    | More Life (Extended Mix)-256k.mp3
1A         | 123.0    | Chris Lake - Stay With Me.mp3
1A         | 123.0    | D-Unity - Singing for money (Original Mix).mp3
1A         | 123.0    | Mark Laird - Funk That.mp3
1A         | 123.0    | House Music (Main Extended Mix).mp3
1A         | 123.0    | Johnny Corporate Sunday Shouting (Sonny Fode.mp3
1A         | 123.0    | Ronald Christoph - Take Off, Baby! feat. Orl.mp3
1A         | 123.0    | Dubfire & Oliver Huntemann Terra (Joseph Cap.mp3
1A         | 123.0    | Guy Mac - Sonic Boom.mp3
1A         | 123.0    | Drinkee (Vintage Culture  John Summit Extend.mp3
1A         | 123.0    | M.B.S..mp3
1A         | 123.0    | Wallace - Breaking Up.mp3
